Name,Feild of work,Author's Pub,Adj.#,Citations,h-index,i10-index,HomePage,ORCID,Institution,Count for ins,Faculty
Yuanchun Shi,Hci,63,10.8,,,,,,Tsinghua University,9.8,44
Chun Yu,Hci,56,10.1,,,,,0000-0003-4867-1340,Tsinghua University,9.8,44
Shi-Min Hu 0001,Graphics,28,5.4,18740.0,65.0,209.0,http://cg.cs.tsinghua.edu.cn/,0000-0001-7507-6542,Tsinghua University,9.8,44
Yong Li 0008,"Hci, Web+ir",27,5.2,17207.0,63.0,257.0,http://fi.ee.tsinghua.edu.cn/~liyong/,0000-0001-5617-1659,Tsinghua University,9.8,44
Fuchun Sun 0001,Robotics,25,4.6,,,,,0000-0003-3546-6305,Tsinghua University,9.8,44
Yuntao Wang 0001,Hci,22,3.2,402.0,12.0,13.0,http://pi.cs.tsinghua.edu.cn/lab/people/YuntaoWang/,0000-0002-4249-8893,Tsinghua University,9.8,44
Huaping Liu 0001,Robotics,19,3.9,9182.0,44.0,183.0,https://sites.google.com/site/thuliuhuaping,0000-0002-4042-6044,Tsinghua University,9.8,44
Xin Yi 0001,Hci,19,3.4,601.0,12.0,14.0,https://www.insc.tsinghua.edu.cn/info/1181/1502.htm,,Tsinghua University,9.8,44
Shixia Liu,Visualization,18,3.2,10429.0,53.0,130.0,http://shixialiu.com/,0000-0003-4499-6420,Tsinghua University,9.8,44
Yong-Jin Liu,Vision,12,2.7,6198.0,39.0,108.0,http://cg.cs.tsinghua.edu.cn/people/~Yongjin/Yongjin.htm,0000-0001-5774-1916,Tsinghua University,9.8,44
Feng Xu 0005,"Vision, Graphics",9,2.0,2010.0,24.0,35.0,http://cgcad.thss.tsinghua.edu.cn/xufeng/,0000-0002-0953-1057,Tsinghua University,9.8,44
Zheng Yang 0002,"Mobile, Hci",8,1.4,12493.0,56.0,110.0,http://tns.thss.tsinghua.edu.cn/~yangzheng/,0000-0003-4048-2684,Tsinghua University,9.8,44
Kun Xu 0003,Graphics,7,1.2,9919.0,53.0,166.0,http://www.math.ust.hk/~makxu,0000-0002-2671-4170,Tsinghua University,9.8,44
Jianyang Zeng,Comp. bio,7,2.0,,,,,0000-0003-0950-7716,Tsinghua University,9.8,44
Jihong Zhu 0001,Robotics,6,1.8,,,,,0000-0001-6830-1211,Tsinghua University,9.8,44
Kang Chen,"Graphics, Arch, Os",6,1.2,,,,,0000-0003-3993-4671,Tsinghua University,9.8,44
Pingzhong Tang,Ai,5,2.2,,,,,,Tsinghua University,9.8,44
Ke Xu 0002,"Security, Hci, Networks",4,0.7,6240.0,39.0,156.0,http://www.thucsnet.org/,0000-0003-2587-8517,Tsinghua University,9.8,44
Jun-Hai Yong,"Graphics, Ai, Vision",4,0.9,,,,,0000-0002-4326-4167,Tsinghua University,9.8,44
Jun Zhu 0001,Ml,3,0.5,17276.0,65.0,202.0,http://ml.cs.tsinghua.edu.cn/~jun,0000-0002-6254-2388,Tsinghua University,9.8,44
Yu-Ping Wang 0001,Robotics,3,0.6,,,,,0000-0003-4129-7704,Tsinghua University,9.8,44
Ran Duan,Theory,3,0.8,,,,,0000-0002-2021-4634,Tsinghua University,9.8,44
Song-Hai Zhang,Vision,3,0.5,2117.0,20.0,31.0,http://cg.cs.tsinghua.edu.cn/,0000-0003-0460-1586,Tsinghua University,9.8,44
Guoliang Li 0001,Db,2,0.3,22080.0,41.0,72.0,http://guolianglab.org/,0000-0002-1398-0621,Tsinghua University,9.8,44
Yuan He 0004,Mobile,2,0.4,4759.0,37.0,76.0,http://www.greenorbs.org/people/heyuan/,0000-0002-6676-4009,Tsinghua University,9.8,44
Jian Li 0015,Ml,2,0.6,,,,,0000-0003-4650-3925,Tsinghua University,9.8,44
Xuefeng Cui,Comp. bio,2,0.5,,,,,0000-0002-8816-3482,Tsinghua University,9.8,44
Yuanjie Li,"Networks, Mobile",2,0.3,1140.0,16.0,22.0,http://www.yuanjiel.com/,0000-0001-9440-2331,Tsinghua University,9.8,44
Jiliang Wang,Mobile,2,0.7,2642.0,29.0,54.0,http://tns.thss.tsinghua.edu.cn/~jiliang/,0000-0003-1464-3245,Tsinghua University,9.8,44
Yaoxue Zhang,"Mobile, Hci",2,0.4,,,,,0000-0001-6717-461X,Tsinghua University,9.8,44
Jia Jia 0001,Ai,1,0.1,,,,,,Tsinghua University,9.8,44
Xiaolin Hu 0001,Vision,1,0.3,11992.0,42.0,85.0,http://www.xlhu.cn/,0000-0002-4907-7354,Tsinghua University,9.8,44
Yiqun Liu 0001,Web+ir,1,0.1,,,,,,Tsinghua University,9.8,44
Zhenhua Li 0001,"Mobile, Networks, Metrics",1,0.2,,,,,0000-0001-7286-122X,Tsinghua University,9.8,44
Zhiyuan Liu 0001,Nlp,1,0.1,27665.0,71.0,217.0,http://thunlp.org/~lzy/,0000-0002-7709-2543,Tsinghua University,9.8,44
Yue Gao 0002,Ai,1,0.2,10669.0,54.0,138.0,http://www.gaoyue.org/,0000-0002-4971-590X,Tsinghua University,9.8,44
Wei Xu 0005,Ai,1,0.3,5186.0,30.0,51.0,http://iiis.tsinghua.edu.cn/~weixu,,Tsinghua University,9.8,44
Min Zhang 0006,Web+ir,1,0.1,,,,,,Tsinghua University,9.8,44
Zhidong Deng,"Vision, Ai",1,0.3,4988.0,30.0,78.0,http://www.tsinghua.edu.cn/publish/csen/4623/2010/20101224173318337163808/20101224173318337163808_.html,0000-0001-9970-1023,Tsinghua University,9.8,44
Shaoping Ma,Web+ir,1,0.1,433.0,11.0,12.0,http://paul.rutgers.edu/~qma/,,Tsinghua University,9.8,44
Dan Pei,Se,1,0.2,7581.0,44.0,121.0,http://netman.aiops.org/~peidan,0000-0002-5113-838X,Tsinghua University,9.8,44
Mingwei Xu,"Networks, Security",1,0.3,4589.0,33.0,109.0,http://routing.netlab.edu.cn/tiki-index.php?page=Mingwei+Xu,0000-0002-4847-4585,Tsinghua University,9.8,44
Andrew Chi-Chih Yao,,1,1.0,,,,,,Tsinghua University,9.8,44
Chongjie Zhang,Ml,1,0.5,1862.0,23.0,39.0,http://group.iiis.tsinghua.edu.cn/~milab/person-zhangchongjie.html,,Tsinghua University,9.8,44
Uichin Lee,Hci,32,7.1,10638.0,54.0,117.0,http://ic.kaist.ac.kr/,0000-0002-1888-1569,KAIST,6.3,42
Juho Kim,Hci,30,6.5,4974.0,26.0,53.0,http://juhokim.com/,0000-0001-6348-4127,KAIST,6.3,42
Geehyuk Lee,Hci,28,8.3,2465.0,25.0,55.0,http://hcil.kaist.ac.kr/,0000-0001-9674-6496,KAIST,6.3,42
In-So Kweon,Vision,26,5.4,30997.0,73.0,331.0,http://rcv.kaist.ac.kr/~iskweon,0000-0001-9626-5983,KAIST,6.3,42
Sung-Eui Yoon,Robotics,23,6.8,4217.0,36.0,68.0,http://sgvr.kaist.ac.kr/~sungeui/,0000-0002-7123-1119,KAIST,6.3,42
Andrea Bianchi,Hci,17,3.4,1408.0,21.0,39.0,http://makinteract.kaist.ac.kr/andrea,0000-0002-7500-7974,KAIST,6.3,42
Min H. Kim 0001,"Vision, Graphics",16,3.2,2373.0,25.0,39.0,http://vclab.kaist.ac.kr/minhkim/,0000-0002-5078-4005,KAIST,6.3,42
Tek-Jin Nam,Hci,13,3.8,,,,,,KAIST,6.3,42
Jean-Charles Bazin,"Vision, Robotics",12,2.5,2266.0,26.0,49.0,http://vcail.kaist.ac.kr/pres_jcbazin.html,0000-0001-7660-4802,KAIST,6.3,42
Woontack Woo,Visualization,12,2.9,7908.0,43.0,210.0,http://uvrlab.org/,0000-0002-5501-4421,KAIST,6.3,42
Hyun Myung,Robotics,11,3.0,5268.0,38.0,132.0,http://urobot.kaist.ac.kr/,0000-0002-5799-2026,KAIST,6.3,42
Jaegul Choo,Vision,10,1.8,7907.0,36.0,78.0,https://sites.google.com/site/jaegulchoo/,0000-0003-1071-4835,KAIST,6.3,42
Junehwa Song,"Mobile, Hci",10,1.4,5057.0,39.0,92.0,http://nclab.kaist.ac.kr/,,KAIST,6.3,42
Tae-Kyun Kim,Vision,9,2.6,11390.0,55.0,137.0,https://sites.google.com/view/tkkim/,0000-0002-7587-6053,KAIST,6.3,42
Seok-Hyung Bae,Hci,8,2.4,1198.0,17.0,26.0,http://sketch.kaist.ac.kr/,0000-0001-7922-2623,KAIST,6.3,42
Jun-yong Noh,Graphics,8,1.6,,,,,0000-0003-1925-3326,KAIST,6.3,42
Daehyung Park,Robotics,8,1.8,1458.0,14.0,18.0,http://www.daehyungpark.com/,0000-0002-1287-9433,KAIST,6.3,42
Sungho Jo,Robotics,5,1.7,,,,,0000-0002-7618-362X,KAIST,6.3,42
John Kim,,4,0.7,,,,,0000-0003-3958-3891,KAIST,6.3,42
Sung-Hee Lee,Graphics,4,1.2,2053.0,18.0,26.0,http://motionlab.kaist.ac.kr/cglab/?page_id=450,0000-0001-6604-4709,KAIST,6.3,42
Sung-Ju Lee,"Mobile, Hci",4,0.7,16034.0,54.0,138.0,https://sites.google.com/site/wewantsj/home,0000-0002-5518-2126,KAIST,6.3,42
Joseph J. Lim,"Ml, Vision",4,1.0,6312.0,29.0,42.0,http://people.csail.mit.edu/lim/,,KAIST,6.3,42
Minhyuk Sung,Vision,4,1.0,815.0,12.0,13.0,https://mhsung.github.io/,,KAIST,6.3,42
Alice Oh,Nlp,3,0.8,,,,,,KAIST,6.3,42
Kuk-Jin Yoon,Vision,3,1.0,5835.0,30.0,70.0,http://vi.kaist.ac.kr/,0000-0002-1634-2756,KAIST,6.3,42
Jae-Gil Lee 0001,"Db, Ai, Ml",2,0.3,6858.0,31.0,57.0,https://dm.kaist.ac.kr/jaegil/,0000-0002-8711-7732,KAIST,6.3,42
Meeyoung Cha,"Ai, Web+ir",2,0.6,19097.0,43.0,79.0,https://ds.ibs.re.kr/,0000-0003-4085-9648,KAIST,6.3,42
Jaesik Choi,Ai,2,0.7,2281.0,23.0,39.0,http://sailab.kaist.ac.kr/jaesik,0000-0002-4663-3263,KAIST,6.3,42
Beomjoon Kim,"Ai, Ml, Robotics",2,0.8,794.0,12.0,13.0,https://beomjoonkim.github.io/,0000-0002-8888-7253,KAIST,6.3,42
Junmo Kim,Vision,2,0.5,7342.0,36.0,57.0,http://siit.kaist.ac.kr/,0000-0002-7174-7932,KAIST,6.3,42
In-Young Ko,Hci,2,0.8,1375.0,20.0,45.0,http://bigbear.kaist.ac.kr/~iko/,0000-0002-3843-263X,KAIST,6.3,42
Edward Choi,"Ai, Ml",1,0.1,6309.0,19.0,25.0,http://mp2893.com/,,KAIST,6.3,42
Sunghee Choi,,1,0.5,3618.0,21.0,32.0,http://gclab.kaist.ac.kr/sunghee.html,0000-0002-4029-2197,KAIST,6.3,42
Chin-Wan Chung,Db,1,0.2,,,,,0000-0001-6892-1226,KAIST,6.3,42
Sung Ju Hwang,Ml,1,0.2,4705.0,37.0,66.0,http://www.sungjuhwang.com/index.php/sample-page/,,KAIST,6.3,42
Min Suk Kang,Security,1,0.2,1195.0,18.0,22.0,https://sites.google.com/view/vcnlskku/vcnl-lab,,KAIST,6.3,42
Youngjin Kwon,"Os, Arch",1,0.2,,,,,,KAIST,6.3,42
Dongman Lee,,1,0.3,2915.0,24.0,60.0,http://cds.kaist.ac.kr/cdsn/DongmanLee,0000-0001-5923-6227,KAIST,6.3,42
Kun-Pyo Lee,,1,0.2,,,,,0000-0001-8873-2983,KAIST,6.3,42
Seung Ryoul Maeng,Arch,1,0.1,,,,,,KAIST,6.3,42
Minjoon Seo,Nlp,1,0.1,4064.0,20.0,23.0,http://seominjoon.github.io/,,KAIST,6.3,42
Insik Shin,"Embedded, Mobile",1,0.1,4554.0,34.0,75.0,http://cps.kaist.ac.kr/~ishin/,,KAIST,6.3,42
Baoquan Chen,Graphics,46,7.5,12274.0,56.0,133.0,http://baoquanchen.info/,0000-0003-4702-036X,Peking University,6.1,36
Daqing Zhang 0001,Hci,39,6.3,24605.0,79.0,238.0,http://www-public.tem-tsp.eu/~zhang_da/DaqingZhang.html,0000-0002-6608-1267,Peking University,6.1,36
Song-Chun Zhu,Vision,23,4.4,33609.0,88.0,309.0,http://www.stat.ucla.edu/~sczhu,0000-0002-1925-5973,Peking University,6.1,36
Xiaoru Yuan,Visualization,18,3.6,5049.0,35.0,90.0,http://vis.pku.edu.cn/wiki,0000-0002-7233-980X,Peking University,6.1,36
Leye Wang,Hci,13,1.9,4734.0,34.0,60.0,https://wangleye.github.io/,0000-0002-7627-8485,Peking University,6.1,36
Huijing Zhao,Robotics,13,2.8,4784.0,37.0,103.0,http://www.poss.pku.edu.cn/,0000-0001-9245-3039,Peking University,6.1,36
Hongbin Zha,"Vision, Robotics",12,2.5,,,,,0000-0001-5860-4673,Peking University,6.1,36
Guoping Wang,"Vision, Graphics",10,2.0,,,,,0000-0001-7819-0076,Peking University,6.1,36
Libin Liu 0002,Graphics,7,1.8,909.0,9.0,9.0,http://libliu.info/,0000-0003-2280-6817,Peking University,6.1,36
Yao Guo 0001,"Web+ir, Hci, Se",6,1.4,3450.0,32.0,85.0,http://yaoguopku.github.io/,0000-0001-5064-5286,Peking University,6.1,36
Yasha Wang,"Ai, Hci",6,0.9,,,,,0000-0002-8026-9688,Peking University,6.1,36
Chenren Xu,"Mobile, Hci",5,0.8,3164.0,25.0,34.0,http://ceca.pku.edu.cn/chenren,0000-0001-9171-2596,Peking University,6.1,36
Xiangqun Chen,"Hci, Web+ir, Se",4,0.9,,,,,0000-0002-4771-5199,Peking University,6.1,36
Yuqing Kong,"Ecom, Ai",4,1.6,438.0,10.0,11.0,https://cfcs.pku.edu.cn/yuqkong/,0000-0002-5901-3004,Peking University,6.1,36
Zhouhui Lian,Vision,4,1.2,2419.0,26.0,37.0,http://www.icst.pku.edu.cn/zlian/,0000-0002-2683-7170,Peking University,6.1,36
Jinshi Cui,"Robotics, Vision",3,0.6,,,,,,Peking University,6.1,36
Xuanzhe Liu,Web+ir,3,0.5,4981.0,36.0,100.0,http://www.liuxuanzhe.com/,0000-0002-7908-8484,Peking University,6.1,36
Hong Mei,Se,3,0.5,15818.0,66.0,272.0,https://faculty.pku.edu.cn/meih/en,0000-0003-2380-3976,Peking University,6.1,36
Gang Huang 0001,"Se, Mobile",2,0.3,4781.0,36.0,105.0,http://sei.pku.edu.cn/~huanggang/index_en.htm,0000-0002-4686-3181,Peking University,6.1,36
Xiaotie Deng,,2,0.5,,,,,0000-0002-5282-6467,Peking University,6.1,36
Liwei Wang 0001,Ml,1,0.2,,,,,,Peking University,6.1,36
Tao Xie 0001,Se,1,0.2,18915.0,75.0,246.0,https://taoxiease.github.io/,0000-0002-6731-216X,Peking University,6.1,36
Hao Dong 0003,"Vision, Ml",1,0.2,3557.0,19.0,22.0,http://zsdonghao.github.com/,0000-0002-7984-9909,Peking University,6.1,36
Tao Wang 0004,"Arch, Mobile",1,0.2,1780.0,21.0,32.0,http://ceca.pku.edu.cn/taowang,0000-0003-4310-4056,Peking University,6.1,36
Xin Jin 0008,Networks,1,0.1,3731.0,27.0,41.0,https://xinjin.github.io/,,Peking University,6.1,36
Zhi Jin,Nlp,1,0.1,8057.0,41.0,129.0,http://faculty.pku.edu.cn/zhijin/en/index.htm,0000-0001-9670-7366,Peking University,6.1,36
Zongqing Lu,Ml,1,0.3,1886.0,23.0,32.0,https://z0ngqing.github.io/,0000-0003-3967-2704,Peking University,6.1,36
Dingsheng Luo,,1,0.3,,,,,0000-0001-6997-3984,Peking University,6.1,36
Boxin Shi,Vision,1,0.1,4892.0,36.0,82.0,http://ci.idm.pku.edu.cn/,0000-0001-6749-0364,Peking University,6.1,36
Yingmin Tang,"Ai, Vision",1,0.2,,,,,,Peking University,6.1,36
Xihong Wu,,1,0.3,,,,,,Peking University,6.1,36
Jianguo Xiao,"Ai, Nlp",1,0.2,,,,,,Peking University,6.1,36
